product_id,location_id,product_category,demand_frequency,risk_period,forecast_window_length,forecast_horizon,forecast_methods,outlier_method,outlier_threshold,distribution,service_level,ss_window_length,leadtime,inventory_cost,moq
BPRN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
BPRP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
BPRQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
BPWN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
BPWP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
BPWQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
HPSN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
HPSQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
HPTQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
IBWP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
IBWQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
OGWN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
OGWP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
OGWQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSSN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSSP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSSQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSWH,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSWN,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSWP,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0
RSWQ,WB,General,d,16,25,4,"prophet,moving_average",no,2.0,kde,0.95,180,7,0,0



