product_id,product_category,location_id,date,demand,stock_level,outlier_handled,outlier_method,outlier_threshold,original_demand
PROD_002,CLOTHING,LOC_002,2022-01-03,63.2448395,59.77,True,mad,1.5,75.06
PROD_003,CLOTHING,LOC_003,2022-01-03,78.8623228734312,80.88,True,zscore,1.2,81.08
PROD_002,CLOTHING,LOC_002,2022-01-04,63.2448395,45.99,True,mad,1.5,71.76
PROD_002,CLOTHING,LOC_002,2022-01-05,63.2448395,31.14,True,mad,1.5,74.92
PROD_003,CLOTHING,LOC_003,2022-01-05,78.8623228734312,84.04,True,zscore,1.2,80.79
PROD_002,CLOTHING,LOC_002,2022-01-06,63.2448395,53.11,True,mad,1.5,74.66
PROD_003,CLOTHING,LOC_003,2022-01-06,78.8623228734312,80.0,True,zscore,1.2,84.53
PROD_002,CLOTHING,LOC_002,2022-01-07,63.2448395,61.52,True,mad,1.5,68.71
PROD_002,CLOTHING,LOC_002,2022-01-10,63.2448395,68.02,True,mad,1.5,73.29
PROD_003,CLOTHING,LOC_003,2022-01-10,78.8623228734312,66.48,True,zscore,1.2,82.87
PROD_002,CLOTHING,LOC_002,2022-01-11,63.2448395,31.87,True,mad,1.5,75.92
PROD_003,CLOTHING,LOC_003,2022-01-11,78.8623228734312,92.78,True,zscore,1.2,83.44
PROD_002,CLOTHING,LOC_002,2022-01-12,63.2448395,53.88,True,mad,1.5,79.75
PROD_003,CLOTHING,LOC_003,2022-01-12,78.8623228734312,83.83,True,zscore,1.2,80.96
PROD_002,CLOTHING,LOC_002,2022-01-13,63.2448395,47.08,True,mad,1.5,77.81
PROD_003,CLOTHING,LOC_003,2022-01-13,78.8623228734312,115.66,True,zscore,1.2,80.98
PROD_002,CLOTHING,LOC_002,2022-01-14,63.2448395,38.18,True,mad,1.5,76.62
PROD_003,CLOTHING,LOC_003,2022-01-14,78.8623228734312,109.78,True,zscore,1.2,82.25
PROD_002,CLOTHING,LOC_002,2022-01-17,63.2448395,62.01,True,mad,1.5,79.74
PROD_003,CLOTHING,LOC_003,2022-01-17,78.8623228734312,84.56,True,zscore,1.2,86.79
PROD_002,CLOTHING,LOC_002,2022-01-18,63.2448395,38.08,True,mad,1.5,75.11
PROD_003,CLOTHING,LOC_003,2022-01-18,78.8623228734312,106.39,True,zscore,1.2,88.32
PROD_002,CLOTHING,LOC_002,2022-01-19,63.2448395,47.46,True,mad,1.5,79.27
PROD_003,CLOTHING,LOC_003,2022-01-19,78.8623228734312,110.29,True,zscore,1.2,89.43
PROD_002,CLOTHING,LOC_002,2022-01-20,63.2448395,45.43,True,mad,1.5,76.56
PROD_003,CLOTHING,LOC_003,2022-01-20,78.8623228734312,90.49,True,zscore,1.2,83.59
PROD_002,CLOTHING,LOC_002,2022-01-21,63.2448395,33.4,True,mad,1.5,79.0
