product_id,location_id,product_category,demand_frequency,risk_period,forecast_window_length,forecast_horizon,forecast_method,outlier_method,outlier_threshold,distribution,service_level,ss_window_length
BPRN,WB,,d,14,25,1,prophet,iqr,2.0,kde,0.95,180
BPRP,WB,,d,14,25,1,prophet,iqr,2.0,kde,0.95,180
BPRQ,WB,,d,14,25,1,prophet,iqr,2.0,kde,0.95,180
BPWN,WB,,d,14,25,1,prophet,iqr,2.0,kde,0.95,180
BPWP,WB,,d,14,25,1,prophet,iqr,2.0,kde,0.95,180
BPWQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
HPSN,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
HPSQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
HPTQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
IBWP,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
IBWQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
OGWN,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
OGWP,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
OGWQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSSN,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSSP,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSSQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSWH,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSWN,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSWP,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
RSWQ,WB,,d,14,25,1,moving_average,iqr,2.0,kde,0.95,180
